Node Number,x (cm),y (cm),z (cm)
1,0.4419,0.4761,0.297
2,0.6237,0.4527,0.1746
3,0.8109,0.3483,0.3978
4,0.4419,0.7749,0.2034
5,0.7029,0.6867,0.081
6,0.2529,0.4869,0.5616
7,0.414,0.387,0.72
8,0.6057,0.3087,0.747
9,0.2529,0.7677,0.45
10,0.1647,0.6849,0.7614
11,0.9945,0.4221,0.2304
12,1.2429,0.4995,0.333
13,1.3761,0.7209,0.2952
14,0.9585,0.2637,0.6084
15,1.1925,0.3087,0.6066
16,1.3689,0.4995,0.7938
17,1.4625,0.8739,0.5418
18,1.4427,0.6849,0.6786
19,0.45,1.026,0.441
20,0.5679,0.9513,0.2322
21,0.7785,0.9693,0.0864
22,0.6741,1.2177,0.414
23,0.3465,0.9099,0.7254
24,0.8145,1.4031,0.5922
25,1.0809,1.0161,0.1368
26,1.1097,1.2501,0.216
27,1.3329,1.0161,0.2196
28,1.3815,1.1745,0.3942
29,0.9117,1.3617,0.3672
30,1.4283,1.1565,0.6066
31,1.449,0.981,0.774
32,1.1781,1.3671,0.4374
33,0.9423,1.4373,0.7902
34,1.1925,1.4823,0.7074
35,1.3815,1.3185,0.765
36,0.1899,0.4689,0.9846
37,0.4149,0.3897,1.1232
38,0.6759,0.2385,1.017
39,0.3375,0.8109,0.9846
40,0.6993,0.4509,1.2636
41,0.2763,0.5913,1.2474
42,0.4383,0.8037,1.2834
43,0.4869,0.5463,1.3518
44,0.6129,0.6597,1.5012
45,0.918,0.234,0.864
46,1.1457,0.3807,0.873
47,0.9117,0.3897,1.0512
48,1.0737,0.5859,1.125
49,1.4229,0.6759,0.9594
50,1.3779,0.8505,1.161
51,0.9639,0.7461,1.359
52,0.7011,0.9693,1.4454
53,1.4445,1.1799,0.9378
54,1.3815,1.2393,1.1718
55,1.1853,1.4499,0.9486
56,0.9261,1.3383,1.0782
57,1.1889,0.9909,1.3608
58,0.9351,1.2501,1.359
59,1.1925,1.3203,1.2654
Node Number,Vertex 1,Vertex 2,Vertex 3
1,1,2,7
2,1,4,2
3,1,6,9
4,1,7,6
5,1,9,4
6,2,3,7
7,2,4,5
8,2,5,11
9,2,11,3
10,3,8,7
11,3,11,14
12,3,14,8
13,4,9,19
14,4,19,20
15,4,20,21
16,4,21,5
17,5,21,25
18,5,25,11
19,6,7,36
20,6,10,9
21,6,36,10
22,7,8,38
23,7,38,36
24,8,14,45
25,8,45,38
26,9,10,19
27,10,23,19
28,10,36,41
29,10,39,23
30,10,41,42
31,10,42,39
32,11,12,15
33,11,13,12
34,11,15,14
35,11,25,27
36,11,27,13
37,12,13,16
38,12,16,15
39,13,17,18
40,13,18,16
41,13,27,17
42,14,15,45
43,15,16,45
44,16,18,49
45,16,46,45
46,16,49,46
47,17,27,28
48,17,28,30
49,17,30,31
50,17,31,18
51,18,31,49
52,19,21,20
53,19,22,29
54,19,23,24
55,19,24,22
56,19,29,21
57,21,26,25
58,21,29,26
59,22,24,29
60,23,39,42
61,23,42,24
62,24,33,34
63,24,34,29
64,24,42,58
65,24,56,33
66,24,58,56
67,25,26,27
68,26,28,27
69,26,29,32
70,26,32,28
71,28,32,34
72,28,34,35
73,28,35,30
74,29,34,32
75,30,35,53
76,30,53,31
77,31,53,49
78,33,55,34
79,33,56,58
80,33,58,55
81,34,55,35
82,35,54,53
83,35,55,54
84,36,37,41
85,36,38,37
86,37,38,43
87,37,43,41
88,38,40,44
89,38,44,43
90,38,45,40
91,40,45,47
92,40,47,48
93,40,48,51
94,40,51,44
95,41,43,44
96,41,44,52
97,41,52,42
98,42,52,58
99,44,51,57
100,44,57,52
101,45,46,47
102,46,48,47
103,46,49,48
104,48,49,50
105,48,50,51
106,49,53,50
107,50,53,54
108,50,54,57
109,50,57,51
110,52,57,58
111,54,55,59
112,54,59,57
113,55,58,59
114,57,59,58
